Fecha;PM10;PM2.5;Velo-Viento;Precipitacion;Dirrecion;O3;CO;NO;NO2;NOX;SO2;Temperatura;Radiacion;HR
01-01-2023 04:493;41,7;26;2,7;0;63;25,7;0,7;9,1;10,8;19,9;0;14,8;0;62
01-01-2023 01:494;39,6;22;1,7;0;84;29,3;0,7;7,2;10,9;18;0;17,1;0;54
01-01-2023 02:494;34,1;20;4,2;0;69;36,2;0,5;6,3;4,9;11,1;0;17,6;0;51
01-01-2023 03:494;24,5;20;4,1;0;65;41;0,4;3,9;3,1;7;0;19,2;0;46
01-01-2023 04:494;18,4;14;2,3;0;74;52,5;0,3;2,5;2,2;4,8;0;20,8;0;38
01-01-2023 01:495;13,9;11;0,6;0;302;54,1;0,5;2,9;6,6;9,5;0;20,8;0;40
01-01-2023 02:495;29;17;5;0,5;266;54,7;0,7;3,7;16,3;19,9;0;17,7;0;60
01-01-2023 03:495;48,8;36;5,2;0;258;48,8;0,7;4,9;14,3;19,2;0;17,7;0;59
01-01-2023 04:495;65,2;32;3,3;0,1;251;40,9;0,7;5,6;17,3;22,9;0;16,9;0;62
01-01-2023 01:496;62,3;35;3,3;0;243;29,9;0,9;8,3;22,4;30,6;0;15,7;0;65
01-01-2023 02:496;57,6;31;2,2;0;257;22,8;0,9;7,8;23,6;31,3;0;15;0;67
01-01-2023 03:496;67,1;0;2,8;0,2;261;15,3;1,2;9,7;27,4;37,1;0;14,4;0;70
01-01-2023 04:496;60,5;32;2,6;0;269;15,6;1;8,8;25,6;34,4;0;13,9;0;71
01-01-2023 01:497;54,2;28;1,2;0;325;21,5;0,7;3,8;16,1;19,9;0;13,5;0;72
01-01-2023 02:497;48,6;24;0,7;0;253;15,2;0,8;5,6;22,1;27,8;0;13,1;0;71
01-01-2023 03:497;52,4;21;0,4;0;293;14,9;0,7;3;20;23;0;12,9;0;73
01-01-2023 04:497;48,7;16;2,2;0;276;6,5;0,8;7,1;26,6;33,7;0;13,1;0;73
01-01-2023 01:498;39,8;21;1,6;0;295;16,9;0,5;3,3;15,6;18,9;0;12,8;0;73
01-01-2023 02:498;36,9;18;1,1;0;340;18,4;0,5;0,9;10;10,9;0;12,7;0;74
01-01-2023 03:498;42,2;20;1,3;0;12;17;0,4;0,8;11,2;11,9;0;12,5;0;75
01-01-2023 04:498;41,6;26;1;0;11;12,9;0,4;1,1;13,2;14,3;0;12,5;0;75
01-01-2023 01:499;33,3;24;1,6;2,4;45;21,5;0,4;1,1;9,1;10,2;0;12,2;0;75
01-01-2023 02:499;28,1;20;1,4;0,3;78;22,9;0,4;1,3;9,1;10,3;0;11,3;0;80
01-01-2023 03:499;26,1;16;0,9;0,1;2;8,9;0,9;13,6;22,4;36,1;0;11,7;0;79
01-01-2023 04:499;23;23;1,9;0;36;14,5;0,8;12,1;19,7;31,9;0;12,9;0;73
01-01-2023 01:500;29,9;25;0,9;0;278;15,6;0,9;11,1;22,1;33,2;0;14,3;0;66
01-01-2023 02:500;33,6;24;1,1;0;39;22,7;0,7;7,2;17,3;24,5;0;14,3;0;64
01-01-2023 03:500;34,8;22;1,6;0;51;20,2;0,9;9,3;20,7;30;0;14,5;0;63
01-01-2023 04:500;30,6;25;2;0;35;28,4;0,7;6,8;14,4;21,3;0;15,2;0;61
01-01-2023 01:501;27,1;14;1,1;0;282;35,1;0,6;4,8;11,3;16,1;0;17;0;55
01-01-2023 02:501;31,7;20;1,5;0;160;35,8;0,7;4,5;13,6;18,1;0;17;0;55
01-01-2023 03:501;34,7;15;1,1;0;214;33,9;0,7;2,6;12;14,5;0;16;0;57
01-01-2023 04:501;25,2;12;1,9;0;241;24,9;1;5;24,2;29,2;0;15,8;0;59
01-01-2023 01:502;28;28;0,5;4,4;258;15,2;1,1;7,4;28,9;36,3;0;13,2;0;74
01-01-2023 02:502;31,5;27;1,8;0,6;75;16,5;1;10,3;24,9;35,2;0;12,5;0;79
01-01-2023 03:502;26,1;23;0,7;0;98;8,9;1;5,7;24,6;30,3;0;12,4;0;77
01-01-2023 04:502;29,9;21;0,6;0;40;2,8;1,7;35,9;30,8;66,7;0;12,2;0;77
01-01-2023 01:503;27,8;25;1,5;0;85;10,7;1;13;21,7;34,6;0;12,2;0;74
01-01-2023 02:503;33,8;23;0,8;0;51;13,4;0,8;4,8;15,7;20,5;0;12;0;74
01-01-2023 03:503;27,5;24;1,2;0;40;17,7;0,6;4,3;14,5;18,8;0;12,4;0;69
01-01-2023 04:503;37,1;23;1,7;0;73;26,7;0,5;1,7;7,4;9,1;0;12,4;0;68
01-01-2023 01:504;28,4;28;1,8;0;102;29,4;0,4;0,7;5;5,6;0;12,3;0;69
01-01-2023 02:504;28,6;21;2,7;0;88;32,2;0,4;1,1;4;5,1;0;12,4;0;68
01-01-2023 03:504;26,4;21;1,3;0;49;32,5;0,4;1;3,1;4,2;0;11,8;0;70
01-01-2023 04:504;24,3;21;2,2;0;61;38,5;0,3;1;2,4;3,3;0;11,6;0;70
01-01-2023 01:505;24,9;22;4,1;0;81;41,5;0,3;0,8;0,1;0,9;0;11,7;0;70
01-01-2023 02:505;26;26;3,2;0;87;38,5;0,3;0,8;1,2;2;0;11,8;0;70
01-01-2023 03:505;38,1;25;2,2;0;45;26,2;0,5;2,2;8,8;11;0;11,9;0;70
01-01-2023 04:505;27,8;27;2,3;0;38;29,8;0,5;2,3;7,5;9,9;0;12,9;0;67
01-01-2023 01:506;29,2;24;2,3;0;59;38,5;0,4;1,6;3,5;5,1;0;14,2;0;60
01-01-2023 02:506;29,6;25;2,2;0;100;42,5;0,4;1,4;1,7;3,1;0;15,8;0;54
01-01-2023 03:506;29,2;25;2,8;0;105;44,5;0,4;1,8;0,8;2,6;0;18,3;0;47
01-01-2023 04:506;30;16;4,9;0;88;43,9;0,4;2,6;1,3;3,9;0;17,2;0;49
01-01-2023 01:507;22,5;15;4,3;0;96;44,3;0,4;2,5;0,7;3,1;0;18;0;47
01-01-2023 02:507;27,8;19;2,4;0;138;44,9;0,4;1,2;0;1;0;18,7;0;45
01-01-2023 03:507;31,8;19;3,4;0;101;43;0,4;1,9;1;3;0;18,4;0;45
01-01-2023 04:507;23,5;20;2,4;0;121;42,7;0,4;1,4;0,7;2,1;0;18,5;0;45
01-01-2023 01:508;36,3;23;2,5;0;109;41,6;0,4;2;1,3;3,3;0;18,8;0;41
01-01-2023 02:508;25,9;20;1,2;0;131;38,7;0,4;1,3;2,5;3,7;0;16,6;0;49
01-01-2023 03:508;0;29;1;0;142;31,6;0,5;1,2;7,7;8,9;0;13,8;0;58
01-01-2023 04:508;26;26;2,7;0;91;30;0,6;2,9;7,6;10,5;0;13,2;0;62
01-01-2023 01:509;27,8;26;1,1;0;93;26,4;0,6;2,3;10,6;12,9;0;12,3;0;65
01-01-2023 02:509;25;25;2,8;0;86;32,6;0,4;1,5;4,6;6,1;0;12,3;0;65
01-01-2023 03:509;26,4;23;0,5;0;48;25,1;0,6;2;9,7;11,7;0;11,8;0;67
01-01-2023 04:509;30,5;24;1,1;0;27;28,8;0,4;0,4;5,5;5,9;0;12,4;0;66
01-01-2023 01:510;36,5;23;1,5;0;81;30,6;0,4;0,6;4,2;4,8;0;12,5;0;66
01-01-2023 02:510;28,7;24;1,6;0;72;37,1;0,3;0,5;0;0,4;0;12,5;0;66
01-01-2023 03:510;27,9;18;1,9;0;44;30;0,3;0,5;3;3,6;0;11,7;0;69
01-01-2023 04:510;24;24;1,8;0;82;27,3;0,3;0,9;5;5,8;0;11,2;0;70
01-01-2023 01:511;26,7;24;1,8;0;72;30,5;0,3;8,5;3,8;12,3;0;11,6;0;68
01-01-2023 02:511;29,1;24;3;0;85;25,1;0,4;6,1;11,2;17,2;0;12,2;0;65
01-01-2023 03:511;25,9;21;2,9;0;75;19,8;0,7;11,7;17,7;29,2;0;12,8;0;63
01-01-2023 04:511;29,5;26;4,1;0;81;28;0,8;10,1;10,6;20,8;0;14,8;0;57
01-01-2023 01:512;41;24;3,8;0;69;30,4;0,6;9;8,2;17,2;0;16;0;55
01-01-2023 02:512;37,6;25;4;0;81;32,4;0,5;6,5;6,5;13;0;16,4;0;53
01-01-2023 03:512;26,6;16;4;0;67;34,5;0,5;5,4;5,4;10,8;0;16,5;0;53
01-01-2023 04:512;21,4;15;4;0;92;33,5;0,5;4,2;5,1;9,4;0;16,3;0;53
01-01-2023 01:513;24,7;21;3,2;0;70;36;0,5;5;4,6;9,7;0;18;0;48
01-01-2023 02:513;31,6;16;4,7;0;87;35,1;0,5;4,2;3,2;7,4;0;18,2;0;45
01-01-2023 03:513;24;18;1,1;0;180;28,2;0,6;4,9;10,1;15;0;17,6;0;50
01-01-2023 04:513;35,5;22;2,9;0;262;23,7;1;10,7;26,8;37,6;0;16,8;0;60
01-01-2023 01:514;43,7;36;2,1;0;289;16,8;1;10,6;29,6;40,2;0;16,4;0;61
01-01-2023 02:514;49,8;31;2,9;1;258;9;1,4;17,2;31,8;48,9;0;13,9;0;73
01-01-2023 03:514;49,9;28;1,9;0;262;6,7;1,4;17,8;36,4;54,1;0;12,9;0;77
01-01-2023 04:514;46;33;1,7;0;271;8,1;1,3;10,3;31,6;41,8;0;13;0;75
01-01-2023 01:515;48;29;0,9;0;9;12,8;0,9;4,7;25;29,7;0;13,2;0;71
01-01-2023 02:515;40,4;30;0,7;0;339;7,1;1,1;5,1;28,7;33,7;0;13,3;0;70
01-01-2023 03:515;38,7;27;1,9;0;49;20,7;0,6;2;11,2;13,2;0;13,5;0;67
01-01-2023 04:515;44,9;22;1,7;0;28;15,4;0,5;1,1;11,5;12,6;0;13,3;0;68
01-01-2023 01:516;35,5;26;2,1;0;40;16,5;0,4;1,1;9,9;10,9;0;12,7;0;71
01-01-2023 02:516;39,6;19;2,2;0;45;21,9;0,3;0,9;4,9;5,8;0;12,6;0;71
01-01-2023 03:516;29,8;22;2;0;46;27;0,3;0,4;2,1;2,5;0;12,5;0;70
01-01-2023 04:516;29;26;2;0;46;28,7;0,3;0,3;0,8;1,1;0;12,3;0;69
01-01-2023 01:517;27;24;1,3;0;35;14,3;0,4;4,9;11,9;16,8;0;12,2;0;71
01-01-2023 02:517;38,6;25;1,7;0;39;5,1;0,7;15,2;20,9;36,2;0;12;0;71
01-01-2023 03:517;30,4;26;0,3;0;54;1,6;1,4;41,1;25,9;66,9;0;12,3;0;72
01-01-2023 04:517;49,7;35;0,5;0;64;3,8;1,5;42,4;29,1;71,5;0;14,1;0;65
01-01-2023 01:518;48,7;36;1,4;0;21;12,7;1,6;38,1;32,8;70,8;0;17,7;0;54
01-01-2023 02:518;56,3;38;1,7;0;3;0;0;0;0;0;0;17,8;0;54
01-01-2023 03:518;62,1;34;0,8;0;60;0;0;0;0;0;0;18,1;0;50
01-01-2023 04:518;44,2;19;1,5;0;159;0;0;0;0;0;0;21,2;0;40
01-01-2023 01:519;32,7;15;2,1;0;229;40,8;0,6;6;12,5;18,5;0;21,4;0;40
01-01-2023 02:519;39,4;19;1,1;0;95;38,6;0,6;4,9;9,1;14;0;19,9;0;43
01-01-2023 03:519;33,4;20;3,8;0,7;263;39,8;0,7;4;19,4;23,4;0;16,6;0;64
01-01-2023 04:519;35,7;27;2,1;0;229;29,8;0,7;4,8;19,7;24,5;0;15;0;69
01-01-2023 01:520;46,8;24;1,9;0;249;31,7;0,7;4,4;20,5;24,9;0;15,2;0;66
01-01-2023 02:520;52,9;23;1,2;0;87;8,1;1,5;21,5;45,7;67,3;0;14,7;0;69
01-01-2023 03:520;43,9;30;2,1;0;97;2,3;2;31,3;51;82,2;0;14,6;0;70
01-01-2023 04:520;46,1;35;2,5;1;47;12,5;1,1;14,4;33,5;47,9;0;13,2;0;76
01-01-2023 01:521;42,6;23;1,1;0,3;52;10,1;1;8,5;29,4;37,9;0;12,9;0;78
01-01-2023 02:521;44;20;0,8;0,1;301;10;1;8,6;31,6;40,3;0;13,2;0;73
01-01-2023 03:521;37;27;0,9;0;270;11,2;0,8;4,4;26,6;31;0;13,2;0;68
01-01-2023 04:521;33,8;20;1,8;0;269;4,6;0,8;13,4;35,1;48,5;0;13,3;0;67
01-01-2023 01:522;24,8;19;1,7;0;264;18,2;0,5;2,5;17,9;20,4;0;13;0;67
01-01-2023 02:522;43,2;15;0,8;0;352;13,1;0,5;1,8;20,6;22,3;0;12,8;0;70
01-01-2023 03:522;32,4;17;1,6;0;76;15,3;0,4;1,1;14,5;15,6;0;12,3;0;77
01-01-2023 04:522;33,5;16;1,9;0;47;22,6;0,4;0,6;7,6;8,2;0;11,8;0;78
01-01-2023 01:523;26,3;12;0,6;0;54;11;0,4;3,2;16,4;19,6;0;11,7;0;79
01-01-2023 02:523;22,5;16;1,7;0;58;3,1;0,6;16,3;25,9;42,1;0;11,8;0;78
01-01-2023 03:523;27,9;17;1,2;0;36;1,8;1,1;39,9;31,6;71,4;0;12,1;0;77
01-01-2023 04:523;30,6;23;2;0;50;5,1;1,4;46,7;27;73,6;0;13,4;0;71
01-01-2023 01:524;25,9;21;2,7;0;43;21,5;0,8;13,5;13,2;26,7;0;15,9;0;59
01-01-2023 02:524;34,3;11;3;0;43;30,6;0,6;8,1;10;18,1;0;16,4;0;57
01-01-2023 03:524;24,2;13;2,9;0;64;26,6;0,7;9,7;13,6;23,3;0;16,3;0;58
01-01-2023 04:524;17,5;15;3,7;0;85;34,5;0,6;6,8;6,9;13,7;0;17,3;0;53
01-01-2023 01:525;14;14;1,5;0;229;28;0,9;9,9;18,8;28,7;0;17,2;0;54
01-01-2023 02:525;20;18;4,9;0;259;26,5;1;13,5;25,7;39,1;0;16,1;0;61
01-01-2023 03:525;31,9;24;3,9;0;275;24,2;0,8;11,7;20,8;32,5;0;15,2;0;66
01-01-2023 04:525;34,8;15;1,2;0;306;28,7;0,6;6,3;17,3;23,6;0;14,7;0;67
01-01-2023 01:526;29,7;11;1,4;0;111;24,8;0,9;8,8;24,6;33,4;0;15,3;0;64
01-01-2023 02:526;34,4;12;1;0;29;17,1;1,3;10,4;38,8;49,2;0;15,4;0;61
01-01-2023 03:526;35,6;17;2,5;0;45;7,3;1,3;15,2;37;52,2;0;13,6;0;70
01-01-2023 04:526;29,5;19;1,9;0;74;6;1,2;21,2;30,2;51,5;0;12,8;0;71
01-01-2023 01:527;28,1;16;1;0;38;1,4;1,4;30,3;31,9;62,1;0;12,4;0;72
01-01-2023 02:527;32,9;18;1,1;0;57;1,2;1,2;23,5;31,4;54,9;0;11,7;0;76
01-01-2023 03:527;37,9;23;0,5;0;24;0,9;1,1;18,7;27,9;46,5;0;11,2;0;75
01-01-2023 04:527;32,3;16;1,7;0;30;0,6;1,2;32;28,6;60,6;0;11,3;0;75
01-01-2023 01:528;36,5;21;0,4;0;5;0,8;1;23,1;26,3;49,4;0;10,4;0;79
01-01-2023 02:528;35;18;0,5;0;324;0,8;1,1;41,4;24,8;66,2;0;10,7;0;80
01-01-2023 03:528;33,3;25;1,1;0;285;0,8;1;34,8;24,5;59,4;0;11,3;0;77
01-01-2023 04:528;39,7;26;1,2;0;315;3;0,6;5,6;20,4;26;0;11,5;0;75
01-01-2023 01:529;44;20;1,3;0;270;1,3;0,7;23,6;22,5;46,1;0;11,6;0;76
01-01-2023 02:529;45,4;25;0,7;0;161;1,3;1,1;74;38;112,2;0;11,3;0;76
01-01-2023 03:529;0;48;0,4;0;325;1,1;1,9;92,5;29,2;121,8;0;11,5;0;76
01-01-2023 04:529;55,7;41;0,8;0;29;6,3;1,7;52;30,9;82,9;0;13,1;0;69
01-01-2023 01:530;0;0;3;0;82;23,3;0,9;13,1;14,7;27,9;0;14,9;0;59
01-01-2023 02:530;0;0;2,8;0;77;30,6;0,6;8,3;9,9;18,1;0;16,9;0;53
01-01-2023 03:530;33,5;18;1,8;0;135;37,5;0,4;3,4;3,6;7;0;18,7;0;48
01-01-2023 04:530;34,2;10;3;0;95;36,5;0,5;4,7;5,2;9,9;0;18,2;0;49
01-01-2023 01:531;29;12;4,4;0;84;37,4;0,6;7;6,3;13,2;0;17,7;0;51
01-01-2023 02:531;28,3;11;2,3;0;91;37,3;0,5;4,5;5,9;10,4;0;17,5;0;51
01-01-2023 03:531;27,7;15;3,2;0;85;33,2;0,6;6,2;9,4;15,6;0;17,6;0;51
01-01-2023 04:531;21,4;12;0,5;0;109;20,3;0,9;8;25,3;33,2;0;16,6;0;58
01-01-2023 01:532;25,3;23;3,1;0;253;19,7;1;13,2;27,5;40,7;0;15,8;0;64
01-01-2023 02:532;41,4;24;2,7;0;266;16,5;1,2;16,9;29,5;46,3;0;15,5;0;64
